millis,sens0,sens1,sens2,sens3,sens4
500,391,1023,1023,1023,1023
1000,422,1023,1023,1023,1023
1500,425,1023,1023,285,1023
2000,326,1023,1023,1023,1023
2500,428,1023,1023,1023,1023
3000,434,1023,1023,1023,1023
3500,436,1023,1023,1023,1023
4000,432,1023,1023,1023,1023
4500,436,1023,1023,1023,1023
5000,436,1023,1023,1023,1023
5500,434,1023,1023,1023,1023
6000,434,1023,1023,1023,1023
6500,434,1023,1023,1023,1023
7000,434,1023,1023,1023,1023
7500,433,1023,1023,1023,1023
8000,433,1023,1023,1023,1023
8500,433,1023,1023,1023,1023
9000,433,1023,1023,1023,1023
9500,432,1023,1023,1023,1023
10000,432,1023,1023,1023,1023
10500,432,1023,1023,1023,1023
11000,433,1023,1023,1023,1023
11500,433,1023,1023,1023,1023
12000,432,1023,1023,1023,1023
12500,436,1023,1023,1023,1023
13000,434,1023,1023,1023,1023
13500,434,1023,1023,1023,1023
14000,433,1023,1023,1023,1023
14500,436,1023,1023,1023,1023
15000,435,1023,1023,1023,1023
15500,434,1023,1023,1023,1023
16000,433,1023,1023,1023,1023
16500,437,1023,1023,1023,1023
17000,437,1023,1023,1023,1023
17500,436,1023,1023,1023,1023
18000,441,1023,1023,1023,1023
18500,439,1023,1023,1023,1023
19000,438,1023,1023,1023,1023
19500,436,1023,1023,1023,1023
20000,443,1023,1023,1023,1023
20500,443,1023,1023,1023,1023
21000,442,1023,1023,1023,1023
21500,448,1023,1023,1023,1023
22000,446,1023,1023,1023,1023
22500,444,1023,1023,1023,1023
23000,443,1023,1023,1023,1023
23500,449,1023,1023,1023,1023
24000,447,1023,1023,1023,1023
24500,445,1023,1023,1023,1023
25000,451,1023,1023,1023,1023
25500,450,1023,1023,1023,1023
26000,449,1023,1023,1023,1023
26500,448,1023,1023,1023,1023
27000,451,1023,1023,1023,1023
27500,451,1023,1023,1023,1023
28000,450,1023,1023,1023,1023
28500,452,1023,1023,1023,1023
29000,452,1023,1023,1023,1023
29500,355,1005,1023,1023,1023
30000,453,1023,1023,1023,1023
30500,454,1023,1023,1023,1023
31000,453,1023,1023,1023,1023
31500,453,1023,1023,1023,1023
32000,452,1023,1023,1023,1023
32500,453,1023,1023,1023,1023
33000,453,1023,1023,1023,1023
33500,453,1023,1023,1023,1023
34000,452,1023,1023,1023,1023
34500,453,1023,1023,1023,1023
35000,454,1023,1023,1023,1023
35500,454,1023,1023,1023,1023
36000,452,1023,1023,1023,1023
36500,452,1023,1023,1023,1023
37000,454,1023,1023,1023,1023
37500,450,1023,1023,1023,1023
38000,450,1023,1023,1023,1023
38500,453,1023,1023,1023,1023
39000,454,1023,1023,1023,1023
39500,448,1023,1023,1023,1023
40000,448,1023,1023,1023,1023
40500,449,1023,1023,1023,1023
41000,445,1023,1023,1023,1023
41500,445,1023,1023,1023,1023
42000,449,1023,1023,1023,1023
42500,461,1023,1023,1023,1023
43000,460,1023,1023,1023,1023
43500,462,1023,1023,1023,1023
44000,464,1023,1023,1023,1023
44500,458,1023,1023,1023,1023
45000,460,1023,1023,1023,1023
45500,461,1023,1023,1023,1023
46000,463,1023,1023,1023,1023
46500,457,1023,1023,1023,1023
47000,458,1023,1023,1023,1023
47500,460,1023,1023,1023,1023
48000,461,1023,1023,1023,1023
48500,457,1023,1023,1023,1023
49000,457,1023,1023,1023,1023
49500,459,1023,1023,1023,1023
50000,454,1023,1023,1023,1023
50500,455,1023,1023,1023,1023
51000,456,1023,1023,1023,1023
51500,457,1023,1023,1023,1023
52000,452,1023,1023,1023,1023
52500,454,1023,1023,1023,1023
53000,455,1023,1023,1023,1023
53500,452,1023,1023,1023,1023
54000,452,1023,1023,1023,1023
54500,453,1023,1023,1023,1023
55000,454,1023,1023,1023,1023
55500,451,1023,1023,1023,1023
56000,452,1023,1023,1023,1023
56500,452,1023,1023,1023,1023
57000,452,1023,1023,1023,1023
57500,451,1023,1023,1023,1023
58000,451,1023,1023,1023,1023
58500,450,1023,1023,1023,1023
59000,448,1023,1023,1023,1023
59500,440,1023,1023,1023,1023
60000,441,1023,1023,1023,1023
60500,445,1023,1023,1023,1023
61000,436,1023,1023,1023,1023
61500,434,1023,1023,1023,1023
62000,438,1023,1023,1023,1023
62500,442,1023,1023,1023,1023
63000,441,1023,1023,1023,1023
63500,439,1023,1023,1023,1023
64000,434,1023,1023,1023,1023
64500,440,1023,1023,1023,1023
65000,439,1023,1023,1023,1023
65500,437,1023,1023,1023,1023
66000,444,1023,1023,1023,1023
66500,442,1023,1023,1023,1023
67000,441,1023,1023,1023,1023
67500,440,1023,1023,1023,1023
68000,446,1023,1023,1023,1023
68500,445,1023,1023,1023,1023
69000,444,1023,1023,1023,1023
69500,449,1023,1023,1023,1023
70000,448,1023,1023,1023,1023
70500,447,1023,1023,1023,1023
71000,446,1023,1023,1023,1023
71500,451,1023,1023,1023,1023
72000,450,1023,1023,1023,1023
72500,449,1023,1023,1023,1023
73000,453,1023,1023,1023,1023
73500,453,1023,1023,1023,1023
74000,453,1023,1023,1023,1023
74500,451,1023,1023,1023,1023
75000,453,1023,1023,1023,1023
75500,265,991,1023,1023,1023
76000,452,1023,1023,1023,1023
76500,448,1023,1023,1023,1023
77000,450,1023,1023,1023,1023
77500,431,1023,1023,1023,1023
78000,395,1023,1023,1023,1023
78500,261,1011,1023,1023,1023
79000,454,1023,1023,1023,1023
79500,454,1023,1023,1023,1023
80000,455,1023,1023,1023,1023
80500,452,1023,1023,1023,1023
81000,454,1023,1023,1023,1023
81500,455,1023,1023,1023,1023
82000,450,1023,1023,1023,1023
82500,450,1023,1023,1023,1023
83000,452,1023,1023,1023,1023
83500,453,1023,1023,1023,1023
84000,446,1023,1023,1023,1023
84500,448,1023,1023,1023,1023
85000,448,1023,1023,1023,1023
85500,442,1023,1023,1023,1023
86000,442,1023,1023,1023,1023
86500,444,1023,1023,1023,1023
87000,445,1023,1023,1023,1023
87500,442,1023,1023,1023,1023
88000,441,1023,1023,1023,1023
88500,439,1023,1023,1023,1023
89000,439,1023,1023,1023,1023
89500,436,1023,1023,1023,1023
90000,435,1023,1023,1023,1023
90500,436,1023,1023,1023,1023
91000,438,1023,1023,1023,1023
91500,445,1023,1023,1023,1023
92000,445,1023,1023,1023,1023
92500,445,1023,1023,1023,1023
93000,446,1023,1023,1023,1023
93500,445,1023,1023,1023,1023
94000,445,1023,1023,1023,1023
94500,448,1023,1023,1023,1023
95000,448,1023,1023,1023,1023
95500,446,1023,1023,1023,1023
96000,445,1023,1023,1023,1023
96500,446,1023,1023,1023,1023
97000,449,1023,1023,1023,1023
97500,448,1023,1023,1023,1023
98000,452,1023,1023,1023,1023
98500,453,1023,1023,1023,1023
99000,453,1023,1023,1023,1023
99500,451,1023,1023,1023,1023
100000,455,1023,1023,1023,1023
100500,456,1023,1023,1023,1023
101000,455,1023,1023,1023,1023
101500,460,1023,1023,1023,1023
102000,461,1023,1023,1023,1023
102500,461,1023,1023,1023,1023
103000,460,1023,1023,1023,1023
103500,463,1023,1023,1023,1023
104000,462,1023,1023,1023,1023
104500,463,1023,1023,1023,1023
105000,464,1023,1023,1023,1023
105500,464,1023,1023,1023,1023
106000,463,1023,1023,1023,1023
106500,464,1023,1023,1023,1023
107000,461,1023,1023,1023,1023
107500,462,1023,1023,1023,1023
108000,458,1023,1023,1023,1023
108500,447,1023,1023,1023,1023
109000,446,1023,1023,1023,1023
109500,432,1023,1023,1023,1023
110000,446,1023,1023,1023,1023
110500,436,1023,1023,1023,1023
111000,444,1023,1023,1023,1023
111500,444,1023,1023,1023,1023
112000,446,1023,1023,1023,1023
112500,438,1023,1023,1023,1023
113000,439,1023,1023,1023,1023
113500,440,1023,1023,1023,1023
114000,434,1023,1023,1023,1023
114500,434,1023,1023,1023,1023
115000,435,1023,1023,1023,1023
115500,436,1023,1023,1023,1023
116000,433,1023,1023,1023,1023
116500,433,1023,1023,1023,1023
117000,433,1023,1023,1023,1023
117500,434,1023,1023,1023,1023
