millis,sens0,sens1,sens2,sens3,sens4
50400000,1023,1023,1023,1023,1023
50700000,1023,1023,1023,1023,1023
51000000,1023,1023,1023,1023,1023
51300000,1023,1023,1023,1023,1023
51600000,1023,1023,1023,1023,1023
51900000,1023,1023,1023,1023,1023
52200000,1023,1023,1023,1023,1023
52500000,1023,1023,1023,1023,1023
52800000,1023,1023,1023,1023,1023
53100000,1023,1023,1023,1023,1023
53400000,1023,1023,1023,1023,1023
53700000,1023,1023,1023,1023,1023
54000000,1023,1023,1023,1023,1023
54300000,1023,1023,1023,1023,1023
54600000,1023,1023,1023,1023,1023
54900000,1023,1023,1023,1023,1023
55200000,1023,1023,1023,1023,1023
55500000,1023,1023,1023,1023,1023
55800000,1023,1023,1023,1023,1023
56100000,1023,1023,1023,1023,1023
56400000,1023,1023,1023,1023,1023
56700000,1023,1023,1023,1023,1023
57000000,1023,1023,1023,1023,1023
57300000,1023,1023,1023,1023,1023
57600000,1023,1023,1023,1023,1023
57900000,1023,1023,1023,1023,1023
58200000,1023,1023,1023,1023,1023
58500000,1023,1023,1023,1023,1023
58800000,1023,1023,1023,1023,1023
59100000,1023,1023,1023,1023,1023
59400000,1023,1023,1023,1023,1023
59700000,1023,1023,1023,1023,1023
60000000,1023,1023,1023,1023,1023
60300000,1023,1023,1023,1023,1023
60600000,1023,1023,1023,1023,1023
60900000,1023,1023,1023,1023,1023
61200000,1023,1023,1023,1023,1023
61500000,1023,1023,1023,1023,1023
61800000,1023,1023,1023,1023,1023
62100000,1023,1023,1023,1023,1023
62400000,1023,1023,1023,1023,1023
62700000,1023,1023,1023,1023,1023
63000000,1023,1023,1023,1023,1023
63300000,1023,1023,1023,1023,1023
63600000,1023,1023,1023,1023,1023
63900000,1023,1023,1023,1023,1023
64200000,1023,1023,1023,1023,1023
64500000,1023,1023,1023,1023,1023
64800000,1023,1023,1023,1023,1023
65100000,1023,1023,1023,1023,1023
65400000,1023,1023,1023,1023,1023
65700000,1023,1023,1023,1023,1023
66000000,1023,1023,1023,1023,1023
66300000,1023,1023,1023,1023,1023
66600000,1023,1023,1023,1023,1023
66900000,1023,1023,1023,1023,1023
67200000,1023,1023,1023,1023,1023
67500000,1023,1023,1023,1023,1023
67800000,1023,1023,1023,1023,1023
68100000,1023,1023,1023,1023,1023
