Time,LastReadMs,LoopCount,RebootCount,TemperatureA (F),TemperatureB (F),TemperatureC (F),Light (0-1023),Light (Descriptor)
2017/7/27 15:36:38,1039406,70,2,85.44,120.20,104.00,932,Very Bright
2017/7/27 15:36:53,1054458,71,2,85.44,122.00,104.90,932,Very Bright
2017/7/27 15:37:08,1069510,72,2,85.32,123.80,105.35,932,Very Bright
2017/7/27 15:37:23,1084561,73,2,85.44,124.70,105.35,932,Very Bright
2017/7/27 15:37:38,1099613,74,2,85.55,126.50,106.70,932,Very Bright
2017/7/27 15:37:53,1114665,75,2,85.66,127.85,108.05,933,Very Bright
2017/7/27 15:38:08,1129716,76,2,85.44,128.30,107.60,933,Very Bright
2017/7/27 15:38:23,1144768,77,2,85.32,129.65,108.05,933,Very Bright
2017/7/27 15:38:38,1159820,78,2,85.55,130.55,108.50,932,Very Bright
2017/7/27 15:38:53,1174871,79,2,85.55,131.00,108.05,932,Very Bright
2017/7/27 15:39:08,1189923,80,2,85.66,131.90,108.05,933,Very Bright
2017/7/27 15:39:23,1204974,81,2,85.55,133.25,108.95,933,Very Bright
2017/7/27 15:39:38,1220025,82,2,85.55,134.15,110.30,932,Very Bright
2017/7/27 15:39:53,1235077,83,2,85.66,135.05,110.75,773,Very Bright
2017/7/27 15:40:08,1250128,84,2,85.55,131.90,110.30,351,Bright
2017/7/27 15:40:23,1265179,85,2,85.44,129.65,109.85,325,Bright
2017/7/27 15:40:38,1280229,86,2,85.55,127.85,109.40,205,Light
