Time,Temperature,Humidity,Pressure (in Hg),Altitude (meters),Light (Raw value 0-1023),Light (qualitative descriptor
7/17/2014 16:14,26.37,35,77.36,-42.19,470,bright
7/17/2014 16:14,26.37,35,77.36,-42.06,464,bright
7/17/2014 16:14,26.31,35,77.36,-42.31,443,bright
7/17/2014 16:14,26.31,40,77.36,-42.31,472,bright
7/17/2014 16:15,26.31,40,77.36,-42.31,452,bright
7/17/2014 16:15,26.31,40,77.36,-42.19,451,bright
7/17/2014 16:15,26.31,40,77.36,-42.13,439,bright
7/17/2014 16:15,26.31,40,77.36,-42.19,445,bright
7/17/2014 16:15,26.31,40,77.36,-42.31,468,bright
7/17/2014 16:15,26.31,39,77.36,-41.88,440,bright
7/17/2014 16:16,26.31,39,77.36,-42.06,474,bright
7/17/2014 16:16,26.31,39,77.36,-41.94,470,bright
7/17/2014 16:16,26.31,39,77.36,-42,454,bright
7/17/2014 16:16,26.37,39,77.36,-41.75,444,bright
7/17/2014 16:16,26.37,39,77.36,-41.75,443,bright
7/17/2014 16:17,26.37,39,77.36,-41.69,470,bright
7/17/2014 16:17,26.37,39,77.36,-41.56,454,bright
7/17/2014 16:17,26.31,39,77.36,-41.88,451,bright
7/17/2014 16:17,26.31,39,77.36,-41.81,452,bright
7/17/2014 16:17,26.31,39,77.36,-41.94,442,bright
7/17/2014 16:18,26.37,39,77.36,-42,443,bright
7/17/2014 16:18,26.37,39,77.36,-41.94,444,bright
7/17/2014 16:18,26.31,39,77.36,-42.25,473,bright
7/17/2014 16:18,26.37,39,77.36,-42.31,475,bright
7/17/2014 16:18,26.37,39,77.36,-42.25,473,bright
7/17/2014 16:18,26.37,39,77.36,-41.69,465,bright
7/17/2014 16:19,26.31,39,77.36,-42.44,471,bright
7/17/2014 16:19,26.31,39,77.36,-42.25,446,bright
7/17/2014 16:19,26.31,39,77.36,-41.94,472,bright
7/17/2014 17:23,26.69,39,77.36,-41.56,442,bright
7/17/2014 17:23,26.62,39,77.36,-41.81,333,bright
7/17/2014 17:23,26.62,39,77.36,-41.69,197,light
7/17/2014 17:23,26.62,39,77.36,-42.13,411,bright
7/17/2014 17:23,26.56,37,0,-41.94,345,bright
7/17/2014 17:23,26.75,37,77.36,-42.06,123,light
7/17/2014 17:23,26.75,38,77.36,-42.06,454,bright
7/17/2014 17:23,26.69,38,77.36,-42.5,467,bright
7/17/2014 17:23,26.75,38,77.36,-42.19,471,bright
7/17/2014 17:23,26.69,39,77.36,-41.69,451,bright
7/17/2014 17:23,26.69,39,77.36,-41.63,448,bright
7/17/2014 17:23,26.69,39,77.36,-41.94,444,bright
7/17/2014 17:23,26.69,41,77.36,-41.81,442,bright
7/17/2014 17:23,26.69,41,77.36,-41.69,472,bright
7/17/2014 17:23,26.69,41,77.36,-41.5,456,bright
7/17/2014 17:23,26.69,39,77.36,-41.25,443,bright
7/17/2014 17:23,26.69,39,77.36,-41.81,449,bright
7/17/2014 17:23,26.69,39,77.36,-41.56,458,bright
7/17/2014 17:23,26.69,40,77.36,-41.56,457,bright
7/17/2014 17:23,26.69,40,77.36,-41.75,467,bright
7/17/2014 17:23,26.69,40,77.36,-41.38,472,bright
7/17/2014 17:23,26.69,40,77.36,-41.31,473,bright
7/17/2014 17:23,26.69,40,77.36,-41.25,467,bright
7/17/2014 17:23,26.69,40,77.36,-41.19,467,bright
7/17/2014 17:23,26.69,40,77.36,-41.19,467,bright
7/17/2014 17:23,26.69,40,77.36,-41.44,463,bright
7/17/2014 17:23,26.69,40,77.36,-41.31,464,bright
7/17/2014 17:23,26.69,39,77.36,-41.38,456,bright
7/17/2014 17:23,26.69,39,77.36,-41.44,449,bright
7/17/2014 17:23,26.69,39,77.36,-41.44,468,bright
7/17/2014 17:23,26.69,39,77.36,-41.25,449,bright
7/17/2014 17:24,26.69,39,77.36,-41.44,466,bright
7/17/2014 17:24,26.69,39,77.36,-41.44,467,bright
7/17/2014 17:24,26.69,40,77.36,-41.44,473,bright
